id;name
10;graffio
37;morso
139;bruciapelo
92;sfuriate
106;finta
6;giornopaga
97;lacerazione
200;garanzia
208;nottesferza
195;fintoattacco
129;introforza
61;fulmine
62;tuono
65;fossa
135;palla ombra
176;aeroassalto
142;facciata
100;furto
275;coro
276;echeggiavoce
227;ombrartigli
199;rivincita
286;nemesi
84;mangiasogni
197;retromarcia
149;forzasegreta
207;neropulsar
13;taglio
274;ripicca
126;codacciaio
201;ultimascelta
183;supplica
245;sporcolancio
157;granvoce
111;ventogelato
148;privazione
210;semebomba
188;ondashock
102;russare
140;baraonda
189;idropulsar
