id;name
1;botta
5;megapugno
67;psichico
133;forzantica
204;forzasfera
177;dragartigli
263;psicoshock
264;velenoshock
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
265;abbattimento
61;fulmine
62;tuono
64;terremoto
65;fossa
134;palla ombra
146;breccia
268;fangonda
40;lanciafiamme
106;fangobomba
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
270;nitrocarica
99;furto
271;calciobasso
274;coro
275;echeggiavoce
165;vampata
118;alacciaio
218;focalcolpo
219;energipalla
115;falsofinale
279;idrovampata
251;raggioscossa
281;cadutalibera
283;bruciatutto
284;acrobazia
91;esplosione
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
247;pietrataglio
290;invertivolt
291;entomoblocco
292;battiterra
293;alitogelido
94;frana
211;forbice x
294;codadrago
344;assillo
205;velenpuntura
84;mangiasogni
196;retromarcia
235;cannonflash
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
345;crescipugno
341;magibrillio
13;taglio
16;volo
43;surf
53;forza
77;cascata
149;sub
208;idrondata
17;legatutto
179;rimbalzo
250;coleomorso
182;supplica
213;dragopulsar
216;assorbipugno
297;giravvita
298;doppiocolpo
221;geoforza
295;elettrotela
7;fuocopugno
142;centripugno
273;ripicca
113;gigassorbimento
244;sporcolancio
140;ondacalda
156;granvoce
8;gelopugno
110;ventogelato
245;metaltestata
125;codacciaio
147;privazione
200;ultimascelta
112;oltraggio
209;semebomba
187;ondashock
168;segnoraggio
87;aeroattacco
101;russare
144;troppoforte
9;tuonopugno
139;baraonda
188;idropulsar
233;cozzata zen
