id;name
340;magifiamma
215;gemmoforza
329;spettrotuffo
184;fogliamagica
162;sgomento
128;introforza
49;iper raggio
61;fulmine
62;tuono
67;psichico
134;palla ombra
175;aeroassalto
141;facciata
99;furto
274;coro
275;echeggiavoce
219;energipalla
251;raggioscossa
198;rivincita
222;gigaimpatto
84;mangiasogni
148;forzasegreta
206;neropulsar
341;magibrillio
261;funestovento
230;furtivombra
201;sbigoattacco
273;ripicca
156;granvoce
110;ventogelato
187;ondashock
101;russare
139;baraonda
280;sciagura
46;psicoraggio
