id;name
1;botta
108;fangosberla
74;fango
232;pantanobomba
107;fangobomba
269;fangonda
245;sporcolancio
328;rutto
265;velenoshock
129;introforza
49;iper raggio
61;fulmine
62;tuono
65;fossa
135;palla ombra
147;breccia
40;lanciafiamme
76;fuocobomba
167;rocciotomba
142;facciata
100;furto
275;coro
219;focalcolpo
284;bruciatutto
91;esplosione
199;rivincita
223;gigaimpatto
94;frana
348;assillo
206;velenpuntura
137;spaccaroccia
149;forzasegreta
207;neropulsar
349;crescipugno
53;forza
273;acidobomba
72;leccata
170;pugnodombra
231;furtivombra
7;fuocopugno
143;centripugno
114;gigassorbimento
8;gelopugno
188;ondashock
102;russare
9;tuonopugno
