id;name
122;megacorno
50;beccata
21;doppiocalcio
34;velenospina
277;insidia
32;colpo
222;geoforza
265;velenoshock
129;introforza
44;geloraggio
45;bora
49;iper raggio
266;abbattimento
61;fulmine
62;tuono
64;terremoto
65;fossa
135;palla ombra
147;breccia
269;fangonda
40;lanciafiamme
107;fangobomba
76;fuocobomba
167;rocciotomba
142;facciata
100;furto
275;coro
276;echeggiavoce
219;focalcolpo
284;bruciatutto
227;ombrartigli
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
295;codadrago
206;velenpuntura
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
43;surf
53;forza
66;confusione
256;zuccata
126;codacciaio
182;velenocoda
202;sbigoattacco
31;riduttore
209;idrondata
214;dragopulsar
298;giravvita
7;fuocopugno
143;centripugno
8;gelopugno
111;ventogelato
113;oltraggio
188;ondashock
102;russare
145;troppoforte
9;tuonopugno
140;baraonda
189;idropulsar
27;furia
26;incornata
