id;name
144;troppoforte
10;graffio
21;doppiocalcio
34;velenospina
276;insidia
29;corposcontro
221;geoforza
264;velenoshock
128;introforza
44;geloraggio
45;bora
49;iper raggio
265;abbattimento
61;fulmine
62;tuono
64;terremoto
65;fossa
134;palla ombra
146;breccia
268;fangonda
40;lanciafiamme
106;fangobomba
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
274;coro
275;echeggiavoce
218;focalcolpo
283;bruciatutto
226;ombrartigli
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
294;codadrago
205;velenpuntura
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
43;surf
53;forza
125;codacciaio
181;velenocoda
123;inseguimento
80;capocciata
31;riduttore
208;idrondata
213;dragopulsar
297;giravvita
7;fuocopugno
142;centripugno
8;gelopugno
110;ventogelato
112;oltraggio
187;ondashock
101;russare
9;tuonopugno
139;baraonda
188;idropulsar
92;sfuriate
37;morso
131;sgranocchio
157;velenodenti
