id;name
245;sporcolancio
187;cadutamassi
41;pistolacqua
82;limitazione
46;psicoraggio
48;raggiaurora
47;bollaraggio
109;octazooka
169;segnoraggio
44;geloraggio
175;semitraglia
42;idropompa
49;iper raggio
129;introforza
45;bora
266;abbattimento
67;psichico
269;fangonda
40;lanciafiamme
107;fangobomba
76;fuocobomba
142;facciata
100;furto
275;coro
220;energipalla
280;idrovampata
252;raggioscossa
284;bruciatutto
199;rivincita
223;gigaimpatto
236;cannonflash
149;forzasegreta
43;surf
77;cascata
150;sub
273;acidobomba
181;colpodifango
102;russare
79;comete
189;idropulsar
17;legatutto
180;rimbalzo
111;ventogelato
210;semebomba
