id;name
42;idropompa
82;limitazione
37;morso
41;pistolacqua
115;rotolamento
181;colpodifango
194;acquadisale
134;forzantica
81;sparalance
187;cadutamassi
129;introforza
44;geloraggio
45;bora
49;iper raggio
266;abbattimento
167;rocciotomba
142;facciata
100;furto
275;coro
280;idrovampata
223;gigaimpatto
248;pietrataglio
94;frana
137;spaccaroccia
149;forzasegreta
43;surf
77;cascata
150;sub
48;raggiaurora
47;bollaraggio
148;privazione
174;fanghiglia
18;schianto
189;idropulsar
138;mulinello
17;legatutto
222;geoforza
111;ventogelato
102;russare
