id;name
10;graffio
72;leccata
283;bruciatutto
92;sfuriate
37;morso
267;pirolancio
284;acrobazia
76;fuocobomba
131;sgranocchio
128;introforza
57;solarraggio
65;fossa
40;lanciafiamme
166;rocciotomba
141;facciata
270;nitrocarica
99;furto
271;calciobasso
274;coro
165;vampata
226;ombrartigli
198;rivincita
136;spaccaroccia
148;forzasegreta
13;taglio
162;sgomento
182;supplica
333;incantavoce
7;fuocopugno
59;turbofuoco
140;ondacalda
142;centripugno
244;sporcolancio
125;codacciaio
147;privazione
101;russare
139;baraonda
