id;name
309;tifone
42;idropompa
41;pistolacqua
189;idropulsar
199;rivincita
194;acquadisale
129;introforza
44;geloraggio
45;bora
49;iper raggio
176;aeroassalto
142;facciata
100;furto
275;coro
276;echeggiavoce
119;alacciaio
280;idrovampata
282;cadutalibera
223;gigaimpatto
197;retromarcia
149;forzasegreta
16;volo
43;surf
14;raffica
148;privazione
131;tornado
245;sporcolancio
111;ventogelato
210;semebomba
188;ondashock
87;aeroattacco
102;russare
140;baraonda
165;aerasoio
211;eterelama
68;attacco rapido
124;inseguimento
