id;name
28;azione
39;braciere
271;nitrocarica
151;sberletese
73;smog
115;rotolamento
31;riduttore
200;garanzia
40;lanciafiamme
256;zuccata
203;fuococarica
129;introforza
57;solarraggio
147;breccia
76;fuocobomba
167;rocciotomba
142;facciata
272;calciobasso
275;coro
276;echeggiavoce
166;vampata
219;focalcolpo
284;bruciatutto
248;pietrataglio
293;battiterra
94;frana
206;velenpuntura
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
29;corposcontro
183;supplica
202;sbigoattacco
145;troppoforte
32;colpo
289;fiammapatto
7;fuocopugno
143;centripugno
141;ondacalda
126;codacciaio
102;russare
9;tuonopugno
234;cozzata zen
