id;name
60;tuonoshock
68;attacco rapido
195;fintoattacco
117;scintilla
346;elettrococcola
239;scarica
18;schianto
61;fulmine
297;sprizzalampo
62;tuono
129;introforza
65;fossa
147;breccia
142;facciata
275;coro
276;echeggiavoce
252;raggioscossa
291;invertivolt
137;spaccaroccia
149;forzasegreta
53;forza
334;incantavoce
3;doppiasberla
139;bruciapelo
9;tuonopugno
184;locomovolt
183;supplica
296;elettrotela
143;centripugno
126;codacciaio
148;privazione
188;ondashock
169;segnoraggio
102;russare
22;megacalcio
43;surf
300;cuorestampo
162;meteorpugno
323;scagliagelo
335;assorbibacio
327;schiacciatuffo
