id;name
11;presa
17;legatutto
146;vendetta
128;vitaltiro
257;doppiosmash
147;breccia
52;sottomissione
212;forbice x
267;tempestretta
32;colpo
145;troppoforte
129;introforza
49;iper raggio
266;abbattimento
64;terremoto
65;fossa
167;rocciotomba
142;facciata
100;furto
275;coro
219;focalcolpo
116;falsofinale
223;gigaimpatto
248;pietrataglio
292;entomoblocco
293;battiterra
94;frana
137;spaccaroccia
149;forzasegreta
13;taglio
53;forza
251;coleomorso
198;zuffa
106;finta
195;fintoattacco
27;furia
68;attacco rapido
143;centripugno
148;privazione
102;russare
