id;name
28;azione
246;bombagnete
116;scintilla
94;frana
215;gemmoforza
186;cadutamassi
238;scarica
221;geoforza
247;pietrataglio
109;falcecannone
128;introforza
49;iper raggio
265;abbattimento
61;fulmine
62;tuono
64;terremoto
166;rocciotomba
141;facciata
274;coro
91;esplosione
222;gigaimpatto
290;invertivolt
292;battiterra
235;cannonflash
136;spaccaroccia
148;forzasegreta
341;magibrillio
53;forza
33;sdoppiatore
114;rotolamento
7;fuocopugno
8;gelopugno
245;metaltestata
187;ondashock
101;russare
9;tuonopugno
63;sassata
