id;name
138;bruciapelo
10;graffio
105;finta
92;sfuriate
97;lacerazione
29;corposcontro
128;introforza
49;iper raggio
61;fulmine
62;tuono
65;fossa
134;palla ombra
175;aeroassalto
141;facciata
99;furto
274;coro
275;echeggiavoce
226;ombrartigli
198;rivincita
285;nemesi
222;gigaimpatto
292;battiterra
84;mangiasogni
196;retromarcia
148;forzasegreta
13;taglio
199;garanzia
37;morso
200;ultimascelta
68;attacco rapido
191;svegliopacca
182;supplica
273;ripicca
156;granvoce
125;codacciaio
147;privazione
187;ondashock
101;russare
188;idropulsar
201;sbigoattacco
335;carineria
