id;name
28;azione
39;braciere
68;attacco rapido
101;ruotafuoco
79;comete
271;nitrocarica
240;lavasbuffo
40;lanciafiamme
287;marchiatura
115;rotolamento
33;sdoppiatore
129;introforza
65;fossa
147;breccia
76;fuocobomba
176;aeroassalto
142;facciata
275;coro
166;vampata
284;bruciatutto
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
13;taglio
53;forza
183;supplica
159;tritartigli
21;doppiocalcio
171;extrasenso
268;pirolancio
203;fuococarica
92;sfuriate
32;colpo
289;fiammapatto
143;centripugno
141;ondacalda
102;russare
