id;name
25;bottintesta
123;inseguimento
31;riduttore
199;garanzia
276;insidia
133;forzantica
233;cozzata zen
255;zuccata
128;introforza
44;geloraggio
45;bora
49;iper raggio
265;abbattimento
61;fulmine
62;tuono
64;terremoto
65;fossa
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
141;facciata
99;furto
274;coro
218;focalcolpo
283;bruciatutto
198;rivincita
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
294;codadrago
136;spaccaroccia
148;forzasegreta
345;crescipugno
13;taglio
43;surf
53;forza
131;sgranocchio
33;sdoppiatore
192;martelpugno
245;metaltestata
125;codacciaio
18;schianto
20;pestone
32;colpo
213;dragopulsar
221;geoforza
7;fuocopugno
142;centripugno
112;oltraggio
187;ondashock
101;russare
144;troppoforte
9;tuonopugno
139;baraonda
