id;name
130;tornado
133;forzantica
131;sgranocchio
210;eterelama
132;extrarapido
213;dragopulsar
16;volo
156;granvoce
112;oltraggio
49;iper raggio
177;dragartigli
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
64;terremoto
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
275;echeggiavoce
165;vampata
218;focalcolpo
219;energipalla
281;cadutalibera
283;bruciatutto
226;ombrartigli
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
294;codadrago
136;spaccaroccia
148;forzasegreta
43;surf
53;forza
77;cascata
149;sub
208;idrondata
17;legatutto
237;dragobolide
348;ascesa del drago
221;geoforza
110;ventogelato
245;metaltestata
125;codacciaio
187;ondashock
101;russare
139;baraonda
188;idropulsar
