id;name
192;martelpugno
109;falcecannone
91;esplosione
20;pestone
110;ventogelato
251;raggioscossa
292;battiterra
133;forzantica
44;geloraggio
144;troppoforte
49;iper raggio
128;introforza
45;bora
61;fulmine
62;tuono
64;terremoto
146;breccia
166;rocciotomba
141;facciata
274;coro
218;focalcolpo
222;gigaimpatto
293;alitogelido
94;frana
235;cannonflash
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
142;centripugno
8;gelopugno
245;metaltestata
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
