id;name
7;fuocopugno
8;gelopugno
9;tuonopugno
89;stordipugno
148;privazione
146;vendetta
234;cozzata zen
199;rivincita
223;gigaimpatto
129;introforza
49;iper raggio
266;abbattimento
61;fulmine
62;tuono
64;terremoto
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
275;coro
219;focalcolpo
286;nemesi
248;pietrataglio
293;battiterra
94;frana
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
217;assorbipugno
222;geoforza
143;centripugno
111;ventogelato
246;metaltestata
188;ondashock
102;russare
145;troppoforte
