id;name
193;martelpugno
110;falcecannone
91;esplosione
20;pestone
63;sassata
252;raggioscossa
293;battiterra
134;forzantica
248;pietrataglio
145;troppoforte
49;iper raggio
129;introforza
266;abbattimento
61;fulmine
62;tuono
64;terremoto
65;fossa
147;breccia
167;rocciotomba
142;facciata
275;coro
219;focalcolpo
223;gigaimpatto
94;frana
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
217;assorbipugno
222;geoforza
7;fuocopugno
143;centripugno
8;gelopugno
246;metaltestata
188;ondashock
102;russare
9;tuonopugno
