id;name
255;zuccata
42;idropompa
133;forzantica
28;azione
41;pistolacqua
166;rocciotomba
31;riduttore
149;sub
33;sdoppiatore
128;introforza
44;geloraggio
45;bora
49;iper raggio
265;abbattimento
64;terremoto
141;facciata
274;coro
279;idrovampata
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
43;surf
77;cascata
208;idrondata
193;acquadisale
180;colpodifango
107;fangosberla
173;fanghiglia
80;capocciata
101;russare
233;cozzata zen
179;rimbalzo
221;geoforza
110;ventogelato
188;idropulsar
