id;name
115;rotolamento
129;introforza
264;psicoshock
136;divinazione
67;psichico
89;stordipugno
49;iper raggio
62;tuono
135;palla ombra
167;rocciotomba
142;facciata
275;coro
219;focalcolpo
220;energipalla
91;esplosione
223;gigaimpatto
94;frana
348;assillo
84;mangiasogni
236;cannonflash
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
163;sgomento
217;assorbipugno
7;fuocopugno
143;centripugno
8;gelopugno
148;privazione
188;ondashock
169;segnoraggio
102;russare
145;troppoforte
9;tuonopugno
234;cozzata zen
