id;name
26;incornata
27;furia
265;abbattimento
20;pestone
292;battiterra
276;insidia
186;cadutamassi
297;giravvita
31;riduttore
247;pietrataglio
64;terremoto
121;megacorno
128;introforza
44;geloraggio
45;bora
61;fulmine
62;tuono
65;fossa
40;lanciafiamme
76;fuocobomba
166;rocciotomba
141;facciata
99;furto
274;coro
283;bruciatutto
198;rivincita
94;frana
205;velenpuntura
136;spaccaroccia
148;forzasegreta
53;forza
131;sgranocchio
158;tritartigli
214;dragofuria
229;rogodenti
228;gelodenti
125;codacciaio
236;scalaroccia
80;capocciata
227;fulmindenti
208;idrondata
213;dragopulsar
221;geoforza
110;ventogelato
187;ondashock
101;russare
144;troppoforte
139;baraonda
