id;name
243;devastomasso
122;megacorno
206;velenpuntura
26;incornata
20;pestone
27;furia
266;abbattimento
293;battiterra
277;insidia
187;cadutamassi
298;giravvita
31;riduttore
248;pietrataglio
193;martelpugno
64;terremoto
129;introforza
44;geloraggio
45;bora
49;iper raggio
61;fulmine
62;tuono
65;fossa
147;breccia
40;lanciafiamme
76;fuocobomba
167;rocciotomba
142;facciata
100;furto
275;coro
219;focalcolpo
284;bruciatutto
227;ombrartigli
199;rivincita
223;gigaimpatto
94;frana
295;codadrago
236;cannonflash
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
43;surf
53;forza
132;sgranocchio
159;tritartigli
215;dragofuria
230;rogodenti
229;gelodenti
126;codacciaio
237;scalaroccia
80;capocciata
228;fulmindenti
209;idrondata
214;dragopulsar
222;geoforza
7;fuocopugno
143;centripugno
8;gelopugno
111;ventogelato
246;metaltestata
113;oltraggio
188;ondashock
102;russare
145;troppoforte
9;tuonopugno
140;baraonda
