id;name
68;attacco rapido
195;fintoattacco
204;palmoforza
129;introforza
64;terremoto
65;fossa
147;breccia
167;rocciotomba
142;facciata
272;calciobasso
275;coro
219;focalcolpo
227;ombrartigli
199;rivincita
286;nemesi
293;battiterra
94;frana
206;velenpuntura
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
37;morso
154;calciardente
224;pugnoscarica
283;ribaltiro
130;incrocolpo
132;sgranocchio
83;calcinvolo
172;stramontante
218;vuotonda
217;assorbipugno
299;doppiocolpo
143;centripugno
8;gelopugno
126;codacciaio
102;russare
9;tuonopugno
234;cozzata zen
