id;name
234;cozzata zen
10;graffio
163;sgomento
92;sfuriate
231;furtivombra
106;finta
139;bruciapelo
148;privazione
227;ombrartigli
216;gemmoforza
135;palla ombra
274;ripicca
129;introforza
67;psichico
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
272;calciobasso
275;coro
199;rivincita
206;velenpuntura
84;mangiasogni
137;spaccaroccia
149;forzasegreta
322;urlorabbia
207;neropulsar
349;crescipugno
345;magibrillio
13;taglio
195;fintoattacco
202;sbigoattacco
7;fuocopugno
143;centripugno
8;gelopugno
111;ventogelato
188;ondashock
169;segnoraggio
102;russare
9;tuonopugno
189;idropulsar
