id;name
33;sdoppiatore
294;codadrago
229;rogodenti
227;fulmindenti
69;ira
39;braciere
37;morso
25;bottintesta
122;dragospiro
131;sgranocchio
177;dragartigli
233;cozzata zen
40;lanciafiamme
16;volo
128;introforza
49;iper raggio
64;terremoto
146;breccia
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
118;alacciaio
283;bruciatutto
226;ombrartigli
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
213;dragopulsar
214;dragofuria
42;idropompa
32;colpo
130;tornado
208;idrondata
237;dragobolide
140;ondacalda
156;granvoce
125;codacciaio
112;oltraggio
101;russare
