id;name
122;megacorno
28;azione
41;pistolacqua
303;conchilama
118;tagliofuria
189;idropulsar
146;vendetta
254;acquagetto
97;lacerazione
209;idrondata
286;nemesi
42;idropompa
129;introforza
44;geloraggio
45;bora
49;iper raggio
65;fossa
176;aeroassalto
142;facciata
275;coro
116;falsofinale
280;idrovampata
223;gigaimpatto
212;forbice x
295;codadrago
137;spaccaroccia
149;forzasegreta
13;taglio
43;surf
53;forza
77;cascata
150;sub
211;eterelama
200;garanzia
194;acquadisale
208;nottesferza
183;supplica
161;idrocannone
111;ventogelato
126;codacciaio
148;privazione
102;russare
145;troppoforte
288;acquapatto
347;riguardo
