id;name
10;graffio
34;velenospina
115;rotolamento
125;rapigiro
118;tagliofuria
79;comete
92;sfuriate
173;sabbiotomba
97;lacerazione
65;fossa
64;terremoto
129;introforza
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
227;ombrartigli
293;battiterra
94;frana
212;forbice x
206;velenpuntura
137;spaccaroccia
149;forzasegreta
13;taglio
53;forza
277;insidia
159;tritartigli
127;ferrartigli
181;colpodifango
208;nottesferza
237;scalaroccia
183;supplica
222;geoforza
143;centripugno
126;codacciaio
148;privazione
102;russare
