id;name
10;graffio
34;velenospina
114;rotolamento
124;rapigiro
117;tagliofuria
79;comete
92;sfuriate
158;tritartigli
172;sabbiotomba
97;lacerazione
65;fossa
64;terremoto
128;introforza
49;iper raggio
146;breccia
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
274;coro
218;focalcolpo
226;ombrartigli
222;gigaimpatto
247;pietrataglio
292;battiterra
94;frana
211;forbice x
205;velenpuntura
136;spaccaroccia
148;forzasegreta
13;taglio
53;forza
276;insidia
126;ferrartigli
180;colpodifango
207;nottesferza
236;scalaroccia
182;supplica
221;geoforza
142;centripugno
125;codacciaio
147;privazione
101;russare
