id;name
195;fintoattacco
224;pugnoscarica
68;attacco rapido
124;inseguimento
116;falsofinale
127;ferrartigli
118;tagliofuria
97;lacerazione
12;ventagliente
212;forbice x
208;nottesferza
257;doppiosmash
246;metaltestata
265;velenoshock
129;introforza
49;iper raggio
147;breccia
176;aeroassalto
142;facciata
100;furto
275;coro
119;alacciaio
285;acrobazia
223;gigaimpatto
292;entomoblocco
197;retromarcia
236;cannonflash
137;spaccaroccia
149;forzasegreta
13;taglio
53;forza
213;ronzio
168;ventargenteo
251;coleomorso
148;privazione
102;russare
145;troppoforte
218;vuotonda
211;eterelama
