id;name
122;megacorno
115;rotolamento
34;velenospina
124;inseguimento
182;velenocoda
251;coleomorso
265;velenoshock
305;rulloduro
237;scalaroccia
33;sdoppiatore
129;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
107;fangobomba
167;rocciotomba
142;facciata
275;coro
199;rivincita
223;gigaimpatto
292;entomoblocco
293;battiterra
94;frana
212;forbice x
348;assillo
206;velenpuntura
137;spaccaroccia
149;forzasegreta
13;taglio
53;forza
36;missilspillo
31;riduttore
35;doppio ago
209;idrondata
126;codacciaio
169;segnoraggio
102;russare
145;troppoforte
