id;name
88;bolla
275;coro
47;bollaraggio
181;colpodifango
140;baraonda
174;fanghiglia
38;acido
217;assorbipugno
276;echeggiavoce
42;idropompa
157;granvoce
265;velenoshock
129;introforza
49;iper raggio
64;terremoto
65;fossa
147;breccia
269;fangonda
107;fangobomba
167;rocciotomba
142;facciata
219;focalcolpo
280;idrovampata
199;rivincita
223;gigaimpatto
293;battiterra
94;frana
348;assillo
206;velenpuntura
137;spaccaroccia
149;forzasegreta
349;crescipugno
43;surf
53;forza
222;geoforza
232;pantanobomba
102;russare
189;idropulsar
180;rimbalzo
143;centripugno
8;gelopugno
111;ventogelato
148;privazione
