id;name
208;nottesferza
195;fintoattacco
37;morso
69;ira
254;acquagetto
200;garanzia
229;gelodenti
97;lacerazione
158;velenodenti
132;sgranocchio
80;capocciata
129;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
167;rocciotomba
142;facciata
100;furto
275;coro
280;idrovampata
199;rivincita
286;nemesi
223;gigaimpatto
293;battiterra
206;velenpuntura
137;spaccaroccia
149;forzasegreta
322;urlorabbia
207;neropulsar
43;surf
53;forza
77;cascata
150;sub
134;forzantica
194;acquadisale
33;sdoppiatore
42;idropompa
79;comete
32;colpo
180;rimbalzo
111;ventogelato
102;russare
140;baraonda
189;idropulsar
234;cozzata zen
31;riduttore
