id;name
105;finta
56;foglielama
303;vorticerba
308;tifone
240;verdebufera
128;introforza
49;iper raggio
57;solarraggio
65;fossa
134;palla ombra
146;breccia
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
271;calciobasso
274;coro
218;focalcolpo
219;energipalla
115;falsofinale
91;esplosione
198;rivincita
285;nemesi
222;gigaimpatto
94;frana
211;forbice x
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
345;crescipugno
13;taglio
53;forza
174;semitraglia
273;ripicca
68;attacco rapido
12;ventagliente
31;riduttore
179;rimbalzo
113;gigassorbimento
110;ventogelato
147;privazione
209;semebomba
101;russare
170;extrasenso
138;bruciapelo
1;botta
185;fendifoglia
