id;name
72;leccata
92;sfuriate
268;pirolancio
129;introforza
57;solarraggio
65;fossa
40;lanciafiamme
76;fuocobomba
167;rocciotomba
142;facciata
271;nitrocarica
100;furto
272;calciobasso
275;coro
166;vampata
219;focalcolpo
284;bruciatutto
285;acrobazia
227;ombrartigli
199;rivincita
137;spaccaroccia
149;forzasegreta
13;taglio
163;sgomento
183;supplica
334;incantavoce
7;fuocopugno
59;turbofuoco
141;ondacalda
143;centripugno
245;sporcolancio
126;codacciaio
148;privazione
102;russare
145;troppoforte
140;baraonda
10;graffio
37;morso
132;sgranocchio
