id;name
37;morso
34;velenospina
148;privazione
36;missilspillo
124;inseguimento
251;coleomorso
158;velenodenti
265;velenoshock
208;nottesferza
132;sgranocchio
329;pungiglione
244;velenocroce
129;introforza
65;fossa
135;palla ombra
147;breccia
107;fangobomba
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
116;falsofinale
199;rivincita
292;entomoblocco
212;forbice x
348;assillo
206;velenpuntura
137;spaccaroccia
149;forzasegreta
207;neropulsar
13;taglio
53;forza
106;finta
126;codacciaio
182;velenocoda
97;lacerazione
35;doppio ago
209;idrondata
102;russare
