id;name
10;graffio
68;attacco rapido
105;finta
110;ventogelato
92;sfuriate
126;ferrartigli
97;lacerazione
225;geloscheggia
128;introforza
44;geloraggio
45;bora
65;fossa
134;palla ombra
146;breccia
175;aeroassalto
141;facciata
99;furto
271;calciobasso
274;coro
115;falsofinale
226;ombrartigli
198;rivincita
285;nemesi
211;forbice x
205;velenpuntura
84;mangiasogni
136;spaccaroccia
148;forzasegreta
321;urlorabbia
206;neropulsar
345;crescipugno
13;taglio
43;surf
53;forza
224;slavina
37;morso
158;tritartigli
256;doppiosmash
138;bruciapelo
194;fintoattacco
8;gelopugno
322;scagliagelo
123;inseguimento
142;centripugno
273;ripicca
125;codacciaio
147;privazione
101;russare
