id;name
229;gelodenti
230;rogodenti
228;fulmindenti
28;azione
37;morso
72;leccata
25;bottintesta
69;ira
336;carineria
199;rivincita
132;sgranocchio
129;introforza
57;solarraggio
61;fulmine
62;tuono
64;terremoto
65;fossa
135;palla ombra
147;breccia
40;lanciafiamme
107;fangobomba
76;fuocobomba
142;facciata
100;furto
275;coro
166;vampata
284;bruciatutto
286;nemesi
293;battiterra
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
322;urlorabbia
349;crescipugno
345;magibrillio
53;forza
198;zuffa
33;sdoppiatore
106;finta
143;centripugno
144;maniereforti
102;russare
183;supplica
7;fuocopugno
157;granvoce
8;gelopugno
201;ultimascelta
188;ondashock
145;troppoforte
9;tuonopugno
189;idropulsar
