id;name
28;azione
163;sgomento
20;pestone
31;riduttore
234;cozzata zen
23;calciosalto
264;psicoshock
129;introforza
57;solarraggio
61;fulmine
62;tuono
64;terremoto
67;psichico
135;palla ombra
142;facciata
100;furto
275;coro
220;energipalla
252;raggioscossa
286;nemesi
223;gigaimpatto
293;battiterra
84;mangiasogni
297;sprizzalampo
149;forzasegreta
37;morso
21;doppiocalcio
171;extrasenso
122;megacorno
69;ira
32;colpo
180;rimbalzo
126;codacciaio
201;ultimascelta
188;ondashock
169;segnoraggio
102;russare
140;baraonda
