id;name
227;fulmindenti
228;gelodenti
229;rogodenti
28;azione
17;legatutto
63;sassata
166;rocciotomba
69;ira
265;abbattimento
122;dragospiro
18;schianto
94;frana
131;sgranocchio
125;codacciaio
65;fossa
247;pietrataglio
33;sdoppiatore
128;introforza
64;terremoto
141;facciata
274;coro
91;esplosione
198;rivincita
292;battiterra
294;codadrago
235;cannonflash
136;spaccaroccia
148;forzasegreta
206;neropulsar
13;taglio
53;forza
186;cadutamassi
236;scalaroccia
114;rotolamento
208;idrondata
213;dragopulsar
221;geoforza
245;metaltestata
101;russare
172;sabbiotomba
