id;name
228;gelodenti
229;rogodenti
227;fulmindenti
28;azione
37;morso
31;riduttore
131;sgranocchio
285;nemesi
200;ultimascelta
222;gigaimpatto
335;carineria
128;introforza
49;iper raggio
61;fulmine
62;tuono
65;fossa
134;palla ombra
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
198;rivincita
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
321;urlorabbia
43;surf
53;forza
72;leccata
107;fangosberla
123;inseguimento
182;supplica
156;granvoce
245;metaltestata
187;ondashock
101;russare
144;troppoforte
139;baraonda
