id;name
28;azione
41;pistolacqua
108;fangosberla
60;tuonoshock
181;colpodifango
232;pantanobomba
239;scarica
180;rimbalzo
174;fanghiglia
61;fulmine
146;vendetta
129;introforza
62;tuono
64;terremoto
65;fossa
269;fangonda
107;fangobomba
167;rocciotomba
142;facciata
275;coro
280;idrovampata
199;rivincita
248;pietrataglio
293;battiterra
94;frana
348;assillo
149;forzasegreta
43;surf
163;sgomento
222;geoforza
188;ondashock
117;scintilla
209;idrondata
296;elettrotela
274;ripicca
102;russare
140;baraonda
189;idropulsar
