id;name
253;mazzuolegno
63;sassata
18;schianto
106;finta
167;rocciotomba
94;frana
202;sbigoattacco
33;sdoppiatore
248;pietrataglio
193;martelpugno
129;introforza
266;abbattimento
64;terremoto
65;fossa
147;breccia
142;facciata
100;furto
275;coro
91;esplosione
293;battiterra
137;spaccaroccia
149;forzasegreta
349;crescipugno
53;forza
25;bottintesta
115;rotolamento
173;sabbiotomba
70;autodistruzione
183;supplica
222;geoforza
7;fuocopugno
143;centripugno
274;ripicca
8;gelopugno
102;russare
9;tuonopugno
