id;name
185;fogliamagica
337;vento di fata
134;forzantica
33;sdoppiatore
201;ultimascelta
264;psicoshock
129;introforza
49;iper raggio
57;solarraggio
67;psichico
135;palla ombra
147;breccia
40;lanciafiamme
76;fuocobomba
176;aeroassalto
142;facciata
275;coro
276;echeggiavoce
119;alacciaio
284;bruciatutto
286;nemesi
223;gigaimpatto
84;mangiasogni
137;spaccaroccia
149;forzasegreta
345;magibrillio
16;volo
171;extrasenso
136;divinazione
50;beccata
279;veicolaforza
183;supplica
217;assorbipugno
143;centripugno
141;ondacalda
157;granvoce
188;ondashock
169;segnoraggio
102;russare
189;idropulsar
234;cozzata zen
