id;name
287;marchiatura
141;ondacalda
39;braciere
73;smog
125;rapigiro
59;turbofuoco
101;ruotafuoco
240;lavasbuffo
29;corposcontro
40;lanciafiamme
129;introforza
49;iper raggio
57;solarraggio
64;terremoto
107;fangobomba
76;fuocobomba
167;rocciotomba
142;facciata
271;nitrocarica
275;coro
166;vampata
284;bruciatutto
91;esplosione
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
137;spaccaroccia
149;forzasegreta
53;forza
278;pulifumo
268;pirolancio
80;capocciata
145;troppoforte
222;geoforza
126;codacciaio
102;russare
