id;name
163;sgomento
108;fangosberla
34;velenospina
124;inseguimento
106;finta
146;vendetta
232;pantanobomba
202;sbigoattacco
265;velenoshock
206;velenpuntura
107;fangobomba
328;rutto
129;introforza
49;iper raggio
64;terremoto
65;fossa
135;palla ombra
147;breccia
269;fangonda
167;rocciotomba
142;facciata
100;furto
272;calciobasso
275;coro
219;focalcolpo
199;rivincita
286;nemesi
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
212;forbice x
137;spaccaroccia
149;forzasegreta
207;neropulsar
349;crescipugno
13;taglio
53;forza
224;pugnoscarica
130;incrocolpo
217;assorbipugno
121;dinamipugno
139;bruciapelo
195;fintoattacco
25;bottintesta
144;maniereforti
218;vuotonda
192;svegliopacca
180;rimbalzo
299;doppiocolpo
143;centripugno
274;ripicca
245;sporcolancio
8;gelopugno
111;ventogelato
148;privazione
102;russare
9;tuonopugno
