id;name
1;botta
54;assorbimento
68;attacco rapido
55;megassorbimento
124;inseguimento
114;gigassorbimento
18;schianto
220;energipalla
129;introforza
57;solarraggio
65;fossa
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
275;coro
285;acrobazia
94;frana
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
175;semitraglia
132;sgranocchio
159;tritartigli
21;doppiocalcio
123;dragospiro
241;verdebufera
185;fogliamagica
12;ventagliente
217;assorbipugno
143;centripugno
290;erbapatto
126;codacciaio
210;semebomba
102;russare
9;tuonopugno
