id;name
33;sdoppiatore
28;azione
39;braciere
68;attacco rapido
101;ruotafuoco
79;comete
271;nitrocarica
240;lavasbuffo
40;lanciafiamme
287;marchiatura
115;rotolamento
129;introforza
49;iper raggio
57;solarraggio
64;terremoto
65;fossa
147;breccia
76;fuocobomba
167;rocciotomba
176;aeroassalto
142;facciata
275;coro
166;vampata
219;focalcolpo
284;bruciatutto
227;ombrartigli
223;gigaimpatto
293;battiterra
94;frana
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
183;supplica
159;tritartigli
21;doppiocalcio
171;extrasenso
268;pirolancio
203;fuococarica
92;sfuriate
32;colpo
160;incendio
289;fiammapatto
7;fuocopugno
143;centripugno
141;ondacalda
102;russare
9;tuonopugno
