id;name
227;fulmindenti
228;gelodenti
229;rogodenti
37;morso
276;insidia
94;frana
32;colpo
206;neropulsar
198;rivincita
131;sgranocchio
64;terremoto
247;pietrataglio
49;iper raggio
222;gigaimpatto
177;dragartigli
128;introforza
44;geloraggio
45;bora
265;abbattimento
61;fulmine
62;tuono
65;fossa
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
274;coro
218;focalcolpo
283;bruciatutto
226;ombrartigli
285;nemesi
292;battiterra
294;codadrago
136;spaccaroccia
148;forzasegreta
321;urlorabbia
345;crescipugno
13;taglio
43;surf
53;forza
133;forzantica
199;garanzia
245;metaltestata
125;codacciaio
112;oltraggio
123;inseguimento
20;pestone
208;idrondata
213;dragopulsar
221;geoforza
7;fuocopugno
142;centripugno
273;ripicca
8;gelopugno
187;ondashock
101;russare
144;troppoforte
9;tuonopugno
139;baraonda
188;idropulsar
