id;name
193;martelpugno
183;supplica
10;graffio
72;leccata
92;sfuriate
106;finta
97;lacerazione
102;russare
32;colpo
129;introforza
49;iper raggio
266;abbattimento
64;terremoto
65;fossa
147;breccia
167;rocciotomba
176;aeroassalto
142;facciata
100;furto
275;coro
219;focalcolpo
227;ombrartigli
199;rivincita
286;nemesi
223;gigaimpatto
248;pietrataglio
293;battiterra
94;frana
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
277;insidia
198;zuffa
130;incrocolpo
132;sgranocchio
33;sdoppiatore
127;ferrartigli
208;nottesferza
336;carineria
31;riduttore
7;fuocopugno
143;centripugno
245;sporcolancio
157;granvoce
8;gelopugno
201;ultimascelta
210;semebomba
145;troppoforte
9;tuonopugno
140;baraonda
