id;name
28;azione
41;pistolacqua
68;attacco rapido
189;idropulsar
48;raggiaurora
174;fanghiglia
201;ultimascelta
42;idropompa
129;introforza
44;geloraggio
45;bora
49;iper raggio
65;fossa
135;palla ombra
142;facciata
275;coro
276;echeggiavoce
280;idrovampata
286;nemesi
223;gigaimpatto
137;spaccaroccia
149;forzasegreta
43;surf
53;forza
77;cascata
150;sub
183;supplica
279;veicolaforza
270;sincrumore
209;idrondata
157;granvoce
111;ventogelato
126;codacciaio
169;segnoraggio
102;russare
79;comete
37;morso
31;riduttore
33;sdoppiatore
