id;name
106;finta
173;sabbiotomba
108;fangosberla
293;battiterra
94;frana
222;geoforza
213;ronzio
64;terremoto
123;dragospiro
140;baraonda
49;iper raggio
339;ondaboato
129;introforza
57;solarraggio
65;fossa
167;rocciotomba
142;facciata
275;coro
119;alacciaio
292;entomoblocco
197;retromarcia
137;spaccaroccia
149;forzasegreta
16;volo
53;forza
251;coleomorso
118;tagliofuria
14;raffica
181;colpodifango
68;attacco rapido
169;segnoraggio
238;dragobolide
214;dragopulsar
114;gigassorbimento
141;ondacalda
113;oltraggio
102;russare
145;troppoforte
37;morso
132;sgranocchio
195;fintoattacco
