id;name
311;sparafuoco
66;confusione
283;bruciatutto
68;attacco rapido
25;bottintesta
270;nitrocarica
267;pirolancio
233;cozzata zen
286;marchiatura
33;sdoppiatore
202;fuococarica
278;veicolaforza
165;vampata
263;psicoshock
128;introforza
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
67;psichico
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
141;facciata
274;coro
218;focalcolpo
219;energipalla
251;raggioscossa
222;gigaimpatto
196;retromarcia
296;sprizzalampo
136;spaccaroccia
148;forzasegreta
345;crescipugno
341;magibrillio
179;rimbalzo
7;fuocopugno
140;ondacalda
200;ultimascelta
187;ondashock
168;segnoraggio
101;russare
9;tuonopugno
139;baraonda
323;generatore v
