id;name
318;voldifuoco
308;tifone
140;ondacalda
202;fuococarica
32;colpo
212;ronzio
100;ruotafuoco
39;braciere
86;sanguisuga
14;raffica
59;turbofuoco
167;ventargenteo
128;introforza
49;iper raggio
57;solarraggio
67;psichico
40;lanciafiamme
76;fuocobomba
175;aeroassalto
141;facciata
270;nitrocarica
274;coro
165;vampata
283;bruciatutto
284;acrobazia
222;gigaimpatto
291;entomoblocco
205;velenpuntura
196;retromarcia
296;sprizzalampo
148;forzasegreta
16;volo
233;cozzata zen
250;coleomorso
113;gigassorbimento
168;segnoraggio
101;russare
31;riduttore
33;sdoppiatore
