id;name
28;azione
37;morso
132;sgranocchio
95;iperzanna
18;schianto
129;introforza
49;iper raggio
61;fulmine
62;tuono
65;fossa
135;palla ombra
40;lanciafiamme
142;facciata
275;coro
219;focalcolpo
286;nemesi
223;gigaimpatto
84;mangiasogni
137;spaccaroccia
149;forzasegreta
349;crescipugno
13;taglio
53;forza
200;garanzia
126;codacciaio
124;inseguimento
146;vendetta
209;idrondata
183;supplica
7;fuocopugno
143;centripugno
245;sporcolancio
8;gelopugno
148;privazione
201;ultimascelta
210;semebomba
188;ondashock
169;segnoraggio
102;russare
9;tuonopugno
234;cozzata zen
