id;name
33;sdoppiatore
335;carineria
3;doppiasberla
128;introforza
44;geloraggio
45;bora
49;iper raggio
57;solarraggio
61;fulmine
62;tuono
65;fossa
67;psichico
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
141;facciata
274;coro
275;echeggiavoce
218;focalcolpo
251;raggioscossa
283;bruciatutto
285;nemesi
222;gigaimpatto
84;mangiasogni
296;sprizzalampo
148;forzasegreta
345;crescipugno
341;magibrillio
53;forza
182;supplica
105;finta
200;ultimascelta
179;rimbalzo
216;assorbipugno
7;fuocopugno
142;centripugno
156;granvoce
8;gelopugno
110;ventogelato
147;privazione
187;ondashock
101;russare
9;tuonopugno
188;idropulsar
1;botta
114;rotolamento
29;corposcontro
191;svegliopacca
333;incantavoce
