id;name
50;beccata
279;veicolaforza
262;funestovento
211;eterelama
67;psichico
136;divinazione
264;psicoshock
129;introforza
49;iper raggio
57;solarraggio
135;palla ombra
176;aeroassalto
142;facciata
100;furto
275;coro
119;alacciaio
223;gigaimpatto
84;mangiasogni
197;retromarcia
149;forzasegreta
345;magibrillio
16;volo
51;perforbecco
106;finta
68;attacco rapido
202;sbigoattacco
270;sincrumore
234;cozzata zen
274;ripicca
114;gigassorbimento
141;ondacalda
169;segnoraggio
87;aeroattacco
102;russare
