id;name
10;graffio
68;attacco rapido
117;tagliofuria
123;inseguimento
97;lacerazione
145;vendetta
158;tritartigli
115;falsofinale
211;forbice x
197;zuffa
128;introforza
44;geloraggio
45;bora
57;solarraggio
61;fulmine
62;tuono
65;fossa
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
166;rocciotomba
175;aeroassalto
141;facciata
99;furto
274;coro
218;focalcolpo
283;bruciatutto
226;ombrartigli
198;rivincita
285;nemesi
94;frana
205;velenpuntura
136;spaccaroccia
148;forzasegreta
345;crescipugno
53;forza
256;doppiosmash
21;doppiocalcio
194;fintoattacco
92;sfuriate
125;codacciaio
126;ferrartigli
207;nottesferza
12;ventagliente
7;fuocopugno
142;centripugno
113;gigassorbimento
8;gelopugno
110;ventogelato
147;privazione
200;ultimascelta
187;ondashock
101;russare
9;tuonopugno
188;idropulsar
