id;name
228;fulmindenti
134;forzantica
61;fulmine
123;dragospiro
97;lacerazione
234;cozzata zen
326;incrotuono
178;dragartigli
132;sgranocchio
62;tuono
113;oltraggio
157;granvoce
317;lucesiluro
129;introforza
49;iper raggio
67;psichico
135;palla ombra
167;rocciotomba
142;facciata
275;coro
276;echeggiavoce
119;alacciaio
219;focalcolpo
252;raggioscossa
227;ombrartigli
199;rivincita
223;gigaimpatto
248;pietrataglio
291;invertivolt
94;frana
295;codadrago
236;cannonflash
297;sprizzalampo
137;spaccaroccia
149;forzasegreta
13;taglio
16;volo
53;forza
238;dragobolide
214;dragopulsar
222;geoforza
188;ondashock
169;segnoraggio
102;russare
9;tuonopugno
