id;name
257;doppiosmash
37;morso
25;bottintesta
123;dragospiro
132;sgranocchio
18;schianto
214;dragopulsar
215;dragofuria
29;corposcontro
157;granvoce
113;oltraggio
129;introforza
142;facciata
100;furto
275;coro
284;bruciatutto
295;codadrago
137;spaccaroccia
149;forzasegreta
207;neropulsar
53;forza
200;garanzia
163;sgomento
222;geoforza
230;rogodenti
256;zuccata
229;gelodenti
228;fulmindenti
209;idrondata
238;dragobolide
188;ondashock
102;russare
145;troppoforte
140;baraonda
234;cozzata zen
28;azione
