mossa,tipo,categoria,potenza,precissione,descrizione
Botta;Normale;Fisico;40;100;Colpisce il nemico con la coda o le zampe anteriori.
Colpokarate;Lotta;Fisico;50;100;Colpisce il nemico con un colpo netto. Probabile brutto colpo.
Doppiasberla;Normale;Fisico;15;85;Schiaffeggia il nemico da due a cinque volte di fila.
Cometapugno;Normale;Fisico;18;85;Colpisce il nemico con una scarica di pugni da due a cinque volte di fila.
Megapugno;Normale;Fisico;80;85;Colpisce il nemico con un pugno poderoso.
Giornopaga;Normale;Fisico;40;100;Colpisce il nemico con una gran quantità di monete recuperabili dopo la lotta.
Fuocopugno;Fuoco;Fisico;75;100;Colpisce il nemico con un pugno ardente che può scottarlo.
Gelopugno;Ghiaccio;Fisico;75;100;Colpisce il nemico con un pugno di ghiaccio che può congelarlo.
Tuonopugno;Elettro;Fisico;75;100;Colpisce il nemico con un pugno elettrico che può paralizzarlo.
Graffio;Normale;Fisico;40;100;Infligge danni al nemico con artigli acuminati, duri e affilati.
Presa;Normale;Fisico;55;100;Stringe il nemico in una morsa usando enormi e possenti tenaglie.
Ventagliente;Normale;Speciale;80;100;Chi la usa genera un turbine al primo turno e attacca al secondo. Probabile brutto colpo.
Taglio;Normale;Fisico;50;95;Attacca il nemico con artigli o falci affilate. Fuori dalla lotta si usa per tagliare piccoli alberi.
Raffica;Volante;Speciale;40;100;Infligge danni al nemico con una folata di vento sollevata dalle ali.
Attacco d'Ala;Volante;Fisico;60;100;Infligge danni al nemico spiegando delle grandi ali possenti.
Volo;Volante;Fisico;90;95;Chi la usa si alza in volo per attaccare al turno seguente. Fuori dalla lotta permette di volare in città già visitate.
Legatutto;Normale;Fisico;15;85;Lega e stritola il nemico per quattro o cinque turni con tentacoli o con un corpo lungo.
Schianto;Normale;Fisico;80;75;Infligge danni al nemico con una coda, con una liana o con qualcosa di simile.
Frustata;Erba;Fisico;45;100;Infligge danni al nemico con liane sottili simili a fruste.
Pestone;Normale;Fisico;65;100;Colpisce il nemico con un grosso piede e può anche farlo tentennare.
Doppiocalcio;Lotta;Fisico;30;100;Colpisce il nemico due volte con un paio di rapidi calci inferti con entrambi i piedi.
Megacalcio;Normale;Fisico;120;75;Colpisce il nemico con un calcio sferrato con la forza di muscoli poderosi.
Calciosalto;Lotta;Fisico;100;95;Permette di saltare in alto per attaccare con un calcio. Se non va a buon fine, chi la usa si ferisce.
Calciorullo;Lotta;Fisico;60;85;Chi la usa infierisce sul nemico con un calcio rotante. Può anche farlo tentennare.
Bottintesta;Normale;Fisico;70;100;Chi la usa si lancia diritto di testa contro il nemico. Può anche far tentennare.
Incornata;Normale;Fisico;65;100;Danneggia il nemico infilzandolo con un corno affilato.
Furia;Normale;Fisico;15;85;Infilza il nemico con corna affilate o un becco da due a cinque volte di fila.
Azione;Normale;Fisico;40;100;Attacco fisico che colpisce il nemico investendolo con tutto il corpo.
Corposcontro;Normale;Fisico;85;100;Chi la usa carica il nemico con tutto il corpo. Può causarne anche la paralisi.
Avvolgibotta;Normale;Fisico;15;90;Avvolge e stritola il nemico con un corpo lungo o con piante rampicanti per quattro o cinque turni.
Riduttore;Normale;Fisico;90;85;Carica spericolata con tutto il corpo contro il nemico. Danneggia un po' anche chi la usa.
Colpo;Normale;Fisico;120;100;Assale e attacca il nemico per due o tre turni, ma confonde chi la usa.
Sdoppiatore;Normale;Fisico;120;100;Carica spietata e pericolosa che danneggia molto anche chi la usa.
