id,nome,type1,type2,ps,att,dif,attsp,difsp,vel
1,bulbasaur,erba,veleno,45,49,49,65,65
2,ivysaur,erba,veleno,60,62,63,80,80
3,venusaur,erba,veleno,80,82,83,100,100
4,charmander,fuoco,,39,52,43,60,50
5,charmeleon,fuoco,,58,64,58,80,65
6,charizard,fuoco,volante,78,84,78,109,85
7,squirtle,acqua,,44,48,65,50,64
8,wartortle,acqua,,59,63,80,65,80
9,blastoise,acqua,,79,83,100,85,105
10,caterpie,coleottero,,45,30,35,20,20
11,metapod,coleottero,,50,20,55,25,25
12,butterfree,coleottero,volante,60,45,50,90,80
13,weedle,coleottero,veleno,40,35,30,20,20
14,kakuna,coleottero,veleno,45,25,50,25,25
15,beedrill,coleottero,veleno,65,90,40,45,80
16,pidgey,normale,volante,40,45,40,35,35
17,pidgeotto,normale,volante,63,60,55,50,50
18,pidgeot,normale,volante,83,80,75,70,70
19,rattata,normale,,30,56,35,25,35
20,raticate,normale,,55,81,60,50,70
21,spearow,normale,volante,40,60,30,31,31
22,fearow,normale,volante,65,90,65,61,61
23,ekans,veleno,,35,60,44,40,54
24,arbok,veleno,,60,95,69,65,79
25,pikachu,elettro,,35,55,40,50,50
26,raichu,elettro,,60,90,55,90,80
27,sandshrew,terra,,50,75,85,20,30
28,sandslash,terra,,75,100,110,45,55
29,nidoran-f,veleno,,55,47,52,40,40
30,nidorina,veleno,,70,62,67,55,55
31,nidoqueen,veleno,terra,90,92,87,75,85
32,nidoran-m,veleno,,46,57,40,40,40
33,nidorino,veleno,,61,72,57,55,55
34,nidoking,veleno,terra,81,102,77,85,75
35,clefairy,folletto,,70,45,48,60,65
36,clefable,folletto,,95,70,73,95,90
37,vulpix,fuoco,,38,41,40,50,65
38,ninetales,fuoco,,73,76,75,81,100
39,jigglypuff,normale,folletto,115,45,20,45,25
40,wigglytuff,normale,folletto,140,70,45,85,50
41,zubat,veleno,volante,40,45,35,30,40
42,golbat,veleno,volante,75,80,70,65,75
43,oddish,erba,veleno,45,50,55,75,65
44,gloom,erba,veleno,60,65,70,85,75
